id,skill
0,a/b testing
1,adobe illustrator
2,adobe photoshop
3,ai
4,ajax
5,analytical
6,analytics
7,android
8,angular
9,angularjs
10,apache
11,apex
12,api rest
13,apis
14,arduino
15,asp.net
16,asp.net core
17,asp.net mvc
18,assembleur
19,assembly
20,autocad
21,autonome
22,awk
23,aws
24,backend
25,bash
26,big data
27,bootstrap
28,c++
29,cassandra
30,centreon
31,certifications
32,cgi
33,cics
34,cisco
35,cloud computing
36,coaching
37,cobol
38,codeigniter
39,cognos
40,collaboration
41,communication
42,consulting
43,content marketing
44,continuous integration
45,control systems
46,cordova
47,creating data
48,css
49,cucumber
50,customer service
51,cvs
52,data analytics
53,data engineers
54,data management
55,data mining
56,data quality
57,data visualisation
58,data visualization
59,data warehouse
60,database developers
61,databases
62,dax
63,db
64,deep learning
65,design
66,design patterns
67,designer
68,desk
69,devops
70,diagnostics
71,digital marketing
72,django
73,documentation
74,dom
75,drupal
76,dynamodb
77,e-commerce
78,eclipse
79,electronics
80,engineering
81,ensemble
82,entity framework
83,etl
84,extjs
85,fortran
86,foundation
87,frontend
88,full-stack
89,g\xc\xanie logiciel
90,git
91,go
92,google maps
93,grav
94,groovy
95,grunt
96,gsm
97,gulp
98,gwt
99,hadoop
100,hardware
101,hbase
102,hibernate
103,hive
104,html
105,http
106,ia
107,implementation
108,information security
109,innovation
110,insights
111,internet
112,interpersonal
113,ios
114,iot
115,iphone
116,itil
117,javascript
118,jcl
119,jenkins
120,joomla
121,jquery
122,jsf
123,json
124,jsp
125,junit
126,laravel
127,leadership
128,less
129,linux
130,listening
131,lua
132,mac
133,machine learning
134,mariadb
135,math\xc\xamatiques
136,mathematics
137,matlab
138,maven
139,mentoring
140,microsoft
141,microsoft access
142,microsoft azure
143,microsoft excel
144,microsoft office
145,microsoft power bi
146,microsoft project
147,microsoft visual
148,microsoft windows
149,microstrategy
150,mobile
151,mockito
152,modeling
153,mongodb
154,ms access
155,ms excel
156,ms sql server
157,ms visio
158,ms word
159,multitasking
160,mvvm
161,mysql
162,nagios
163,networks
164,neural networks
165,nhibernate
166,nlp
167,node.js
168,nodejs
169,nosql
170,obiee
171,objective c
172,operating system
173,optimisations
174,oracle
175,organizational
176,pca
177,pentaho
178,perl
179,phonegap
180,php
181,pl/sql
182,postgresql
183,powerpoint
184,powershell
185,presentation
186,prestashop
187,priorities
188,problem solving
189,processing
190,programming
191,project management
192,project manager
193,prototyping
194,pspice
195,python
196,qc
197,qlikview
198,r\xc\xaseau
199,redis
200,reporting
201,reporting tools
202,ruby
203,s\xc\xacurit\xc\xa informatique
204,sap
205,sas
206,sass
207,scala
208,scrum
209,sdk android
210,selenium
211,sencha touch
212,sharepoint
213,shell unix
214,shiny
215,sip
216,six sigma
217,sketchup
218,soa
219,soap
220,software knowledge
221,spark
222,spring
223,spring mvc
224,sql
225,sql server
226,sqlite
227,strategic thinking
228,svn
229,swift
230,swing
231,symfony
232,t-sql
233,tableau
234,technical
235,telecom
236,teradata
237,training
238,typescript
239,ui/ux
240,uml
241,unix
242,vb.net
243,vba
244,verbal communication
245,visio
246,visual basic
247,vmware
248,wcf
249,web analytics
250,web services
251,webgl
252,wi-fi
253,wimax
254,windows
255,windows 
256,word
257,wordpress
258,wpf
259,wsdl
260,xaml
261,xhtml
262,xml
263,artificial neural network
264,attention to detail
265,coding
266,communication technologies
267,critical thinking
268,data analysis
269,data collection
270,data processing
271,debugging
272,dos
273,framework
274,graphic design
275,iptables
276,lte
277,network security
278,pascal
279,penetration testing
280,postfix
281,renewable energy
282,social media marketing
283,software development
284,solution development
285,statistical analysis
286,svg
287,teamwork
288,tech support
289,time management
290,troubleshooting
291,volleyball
292,web development
293,website development
