id,user_id,skill,level
0,55,certifications,1
1,55,http,1
2,55,implementation,1
3,55,processing,1
4,55,training,1
5,90,communication,1
6,90,ensemble,1
7,90,hardware,2
8,2,communication,4
9,2,e-commerce,1
10,3,communication,2
11,3,design,1
12,3,mobile,1
13,4,backend,4
14,4,coaching,1
15,4,coding,2
16,4,collaboration,1
17,4,communication,3
18,4,design,4
19,4,designer,1
20,4,electronics,2
21,4,hardware,4
22,4,html,1
23,4,implementation,1
24,4,internet,2
25,4,networks,2
26,4,php,1
27,4,processing,2
28,4,programming,5
29,4,technical,3
30,4,telecom,1
31,4,training,4
32,4,troubleshooting,4
33,4,web development,1
34,5,angular,1
35,5,communication,1
36,5,design,1
37,5,e-commerce,2
38,5,git,2
39,5,html,1
40,5,http,1
41,5,internet,3
42,5,mobile,1
43,5,node.js,1
44,5,nodejs,1
45,5,svg,1
46,6,collaboration,2
47,6,communication,2
48,6,e-commerce,1
49,6,mobile,1
50,6,training,2
51,7,collaboration,1
52,7,consulting,1
53,7,data analysis,2
54,7,data collection,1
55,7,debugging,1
56,7,design,2
57,7,desk,1
58,7,e-commerce,1
59,7,engineering,1
60,7,html,1
61,7,http,3
62,7,implementation,5
63,7,innovation,6
64,7,mathematics,1
65,7,mobile,1
66,7,modeling,1
67,7,networks,1
68,7,presentation,6
69,7,priorities,1
70,7,problem solving,2
71,7,programming,1
72,7,statistical analysis,1
73,7,training,1
74,8,analytical,1
75,8,assembly,1
76,8,critical thinking,1
77,8,databases,1
78,8,design,1
79,8,graphic design,1
80,8,implementation,1
81,8,presentation,1
82,8,programming,1
83,8,training,1
84,9,communication,2
85,9,design,1
86,9,mobile,1
87,10,design,8
88,11,design,1
89,11,engineering,1
90,11,git,1
91,12,go,1
92,13,design,8
93,13,go,1
94,14,communication,1
95,14,design,4
96,14,innovation,1
97,14,networks,1
98,14,presentation,6
99,15,http,6
100,15,processing,1
101,16,ensemble,3
102,16,reporting,3
103,17,mobile,1
104,17,reporting,1
105,18,collaboration,1
106,18,e-commerce,1
107,18,html,1
