id,listing_id,job_title,organization_id,skill,value
0,0,Stagiaire (H/F) Assistant Marketing Nutritionnel,1,communication,1
1,2,Stagiaire H/F Ingénieur Qualité Pontivy,1,certifications,1
2,2,Stagiaire H/F Ingénieur Qualité Pontivy,1,collaboration,1
3,3,Stage (H/F) Qualité - Bourgbarré (35),1,autonome,1
4,3,Stage (H/F) Qualité - Bourgbarré (35),1,communication,1
5,5,Stagiaire (H/F) Développement des Ventes,1,powerpoint,1
6,7,Stage (H/F) Ingénieur production,1,ensemble,2
7,8,Stage Ingénieur Production - (35 ) H/F,1,go,2
8,9,Stag (H/F) Ingé Prod - Roquefort (12),1,communication,1
9,9,Stag (H/F) Ingé Prod - Roquefort (12),1,go,2
10,10,Stage (H/F) Ingé Qualité - Lisieux (14),1,ensemble,1
11,12,Stagiaire (H/F) Contrôleur de Gestion,1,microsoft,2
12,12,Stagiaire (H/F) Contrôleur de Gestion,1,microsoft excel,2
13,13,Stage (h/f) ingénieur r&d (35),1,autonome,1
14,15,Stage (H/F) Ingénieur Packaging (59),1,autonome,1
15,15,Stage (H/F) Ingénieur Packaging (59),1,communication,1
16,16,Stage (H/F) Ingé Prod - Conditionnement,1,ensemble,1
17,17,Stagiaire (H/F) Contrôleur de Gestion (6 mois),1,go,2
18,17,Stagiaire (H/F) Contrôleur de Gestion (6 mois),1,reporting,1
19,18,Stage (H/F) Ingé Production -Vallet (44),1,autonome,1
20,18,Stage (H/F) Ingé Production -Vallet (44),1,go,1
21,19,Stagiaire (H/F) Supply Chain (6 mois),1,autonome,1
22,21,Stage (H/F) Ingé Production (35),1,autonome,1
23,22,Responsable Recrutement Externe (H/F) Laval (53),1,ensemble,1
24,22,Responsable Recrutement Externe (H/F) Laval (53),1,internet,1
25,23,Stagiaire (H/F) Ingénieur Qualité (6 mois) (35),1,communication,1
26,25,Stagiaire (H/F) Ingénieur Production,1,go,2
27,27,Stage (H/F) Ingé Prod - fabrication (35),1,autonome,1
28,28,Stagiaire (H/F) Ingénieur Qualité (6 mois) Lons,1,communication,2
29,29,Stage (H/F) Assistant Chef de Produit,1,reporting,1
30,30,Stagiaire (H/F) Contrôleur de Gestion Toute France,1,reporting,1
31,31,Stage (H/F) Prévisions des Ventes (35),1,collaboration,1
32,31,Stage (H/F) Prévisions des Ventes (35),1,communication,1
33,31,Stage (H/F) Prévisions des Ventes (35),1,consulting,1
34,31,Stage (H/F) Prévisions des Ventes (35),1,reporting,1
35,32,Assistant Qualité_Stage Craon(53) H/F,1,ensemble,1
36,32,Assistant Qualité_Stage Craon(53) H/F,1,innovation,1
37,32,Assistant Qualité_Stage Craon(53) H/F,1,spring,1
38,33,Stagiaire chef de projet mark. digital H/F,1,internet,1
39,34,Stag (H/F) Ingé Log - Roquefort (12),1,communication,2
40,35,Stage (H/F) Ingénieur R&D - Lisieux (14),1,autonome,1
41,36,Stage (H/F) Analyse des flux (4 mois)-35,1,autonome,1
42,37,Stage (H/F) Ingénieur R&D - Lisieux (14),1,autonome,1
43,38,Stagiaire Ingénieur Production (6 mois) H/F,1,go,2
44,39,Stage (HF) Sécurité (6 mois) Vallet (44) H/F,1,autonome,1
45,40,Stagiaire (H/F) Comptable (6 mois) Laval (53),1,ensemble,1
46,41,Stagiaire assistant(e) catman h/f,1,autonome,2
47,42,Stage (H/F) Assistant Chef de Produit,1,communication,1
48,42,Stage (H/F) Assistant Chef de Produit,1,design,1
49,43,Stage (H/F) Assistant Commercial Export,1,collaboration,2
50,43,Stage (H/F) Assistant Commercial Export,1,go,1
51,43,Stage (H/F) Assistant Commercial Export,1,project manager,1
52,43,Stage (H/F) Assistant Commercial Export,1,sas,1
53,44,Stagiaire (H/F) Sécurité - Charchigné (53),1,engineering,1
54,44,Stagiaire (H/F) Sécurité - Charchigné (53),1,go,1
55,45,Stage (H/F) Ingé Production (35),1,autonome,1
56,46,Stagiaire (H/F) Ingénieur Process,1,ensemble,1
57,46,Stagiaire (H/F) Ingénieur Process,1,go,2
58,47,Stagiaire (H/F) Contrôle de Gestion (53),1,go,2
59,47,Stagiaire (H/F) Contrôle de Gestion (53),1,innovation,1
60,48,Stagiaire (H/F) Ingénieur Production,1,go,1
61,49,Stage (HF) Ingé Maintenance/Energie -35 H/F,1,tableau,1
62,50,Stage Assistant Chef de Produit le Viennois (H/F),1,collaboration,1
63,50,Stage Assistant Chef de Produit le Viennois (H/F),1,communication,2
64,50,Stage Assistant Chef de Produit le Viennois (H/F),1,ensemble,1
65,50,Stage Assistant Chef de Produit le Viennois (H/F),1,internet,1
66,51,Stagiaire (H/F) Recherche (6 mois) Retiers (35),1,autonome,1
67,53,Stage (H/F) Sécurité (3 mois) Bayeux,1,collaboration,1
68,54,Stagiaire (H/F) Ingénieur Qualité (74),1,ensemble,1
69,55,Stage (H/F) Chef de secteur-6 mois (75),1,communication,1
70,55,Stage (H/F) Chef de secteur-6 mois (75),1,go,1
71,55,Stage (H/F) Chef de secteur-6 mois (75),1,innovation,1
72,55,Stage (H/F) Chef de secteur-6 mois (75),1,reporting,1
73,56,Stage (H/F) Ingénieur Prod -Process (44),1,autonome,1
74,57,Stage (H/F) Contrôle de Gestion (47),1,reporting,1
75,58,Adjoint Responsable Conditionnement H/F,1,collaboration,1
76,58,Adjoint Responsable Conditionnement H/F,1,reporting,1
77,59,Stagiaire (H/F) Contrôleur de Gestion. (53),1,reporting,1
78,60,Stagiaire (H/F) Chef de Secteur,1,go,1
79,60,Stagiaire (H/F) Chef de Secteur,1,reporting,1
80,62,Stagiaire (H/F) Projet Entrepot (6mois),1,mac,1
81,63,Expert process traitement thermique h/f,2,communication,1
82,63,Expert process traitement thermique h/f,2,consulting,1
83,63,Expert process traitement thermique h/f,2,engineering,1
84,63,Expert process traitement thermique h/f,2,ensemble,1
85,64,Directeur opérationnel h/f,2,ensemble,1
86,65,Ingenieur informatique industrielle (h/f),3,autonome,1
87,66,Chef d'agence h/f,3,collaboration,1
88,66,Chef d'agence h/f,3,ensemble,1
89,66,Chef d'agence h/f,3,reporting,1
90,67,Senior consultant finance et risques h/f,3,consulting,1
91,67,Senior consultant finance et risques h/f,3,reporting,2
92,67,Senior consultant finance et risques h/f,3,word,1
93,70,Ingenieur manager electronique h/f,3,go,1
94,70,Ingenieur manager electronique h/f,3,hardware,1
95,72,Chef de projet logistique h/f,3,autonome,1
96,72,Chef de projet logistique h/f,3,collaboration,1
97,72,Chef de projet logistique h/f,3,communication,1
98,72,Chef de projet logistique h/f,3,consulting,1
99,74,Chef de projet logistique - process & méthodes H/F,3,autonome,1
100,74,Chef de projet logistique - process & méthodes H/F,3,collaboration,1
101,74,Chef de projet logistique - process & méthodes H/F,3,communication,1
